productId,title
B00064C0IU,Oscar Eau de Toilette for Women by Oscar de La Renta
B000K5JBZU,Optimum Care Anti-Breakage Therapy Moisture Replenish Cream Hairdress
B000FKGRT8,"Artec Textureline Smoothing Serum, 8.4-Ounce Pump (Pack of 2)"
B000F1OVRC,Michel Design Works Bath Gift Set - Beach
B000G35MR2,Liz Claiborne Curve Eau de Toilette Spray
B0009XLSV8,"Palladio Herbal Lipstick,"
B000K5JBZK,SOFT SHEEN Carson Optimum Care Anti-Breakage Therapy Featherlight Hairdress 4oz/113g
B00012U9E4,Island Essence Lotion
B0001BOD1U,Creed Spring Flower by Creed for Women - 2.5 oz Millesime Spray
B00012U9FI,Island Essence Lotion
B000BO8NP4,Azulen Supreme Facial Cream 1.66 oz by Dr. Eckstein
B000NRSZRU,Old Spice High Endurance Hair & Body Wash 23.6 Fl oz
B0002DO2XQ,MAC Eye Shadow -- Parfait Amour (Boxed) 1.5g/0.05oz
B0009XLSWM,Palladio Liquid Eyeliner #262 Lavender
B0009XLSWW,"Palladio Herbal Lipstick,"
B00012U9F8,Island Essence Lotion
B00012U9G2,Island Essence Lotion
B00027D74W,"Glysomed Body Lotion, 8.5-Ounce Bottles"
B0001EKYFQ,Exuviance Multi-Protective Day Creme SPF 15
B00012U9GC,Island Essence Lotion
B0009WFCWU,Curve Crush FOR WOMEN by Liz Claiborne - 0.50 oz EDT Spray
B000NP6EWK,MD Skincare Alpha-Beta Daily Face Peel
B0001EKYF6,Exuviance Purifying Cleansing Gel-7.2 oz
B000NRSZTS,"Olay Foaming Facial Wash, Regular, 6.8 Oz"
B000BR15GK,Komenuka Bijin 10-Product Trial/Sample Set from Rice Bran
B000B6MY3O,Focus 21 Jojoba Shampoo 32oz.
B0002DO2ZY,MAC Eye Shadow Steamy 1.5 g / 0.05 oz
B0009XLSYK,Palladio Herbal Eyeliner Pencil
B000NP6EXY,Dr. Dennis Gross Skincare All-In-One Facial Cleanser With Toner
B00012U9HG,Island Essence Body Scrub
B0009XLSYU,"Palladio Herbal Lipstick,"
B0001EKYG0,Exuviance Moisture Balance Toner
B0009PL39S,"Pevonia Evolutive Eye Gel ""C"" (1.0 oz)"
B000MREG74,Revitalash MD - Eyelash Growth - Eyelash Extensions
B0001K60PI,Toenail Clipper - 1 count
B000B5RC64,Osis + Sparkler Shine Spray Hair Styling Serums
B0009XLSZ4,"Palladio Herbal Lipstick,"
B0001EKYHO,NeoStrata NeoStrata Exuviance CoverBlend Corrective Leg and Body Makeup SPF 18
B0001K60PS,Nail Clipper - 1 count
B000FKHNCS,"Neutrogena Energizing Sugar Body Scrub, Fresh Citrus, 6 Ounce (Pack of 2)"
B0002L11JG,Alter Ego for Men
B000GCQB5A,POLO BLUE by RALPH LAUREN EDT SPRAY for Men 2.5 OZ
